archive_path,title,mime_type,size_bytes,drive_id,view_url,action
2021/2021 Hamstra Corn.xlsx,2021 Hamstra Corn.xlsx,xlsx,134222,115a2hpX_qVtVtl5qdkhuUV1dkWPlzqE0,https://drive.google.com/file/d/115a2hpX_qVtVtl5qdkhuUV1dkWPlzqE0/view,extracted
2021/2021 Hamstra meter read dates.xlsx,2021 Hamstra meter read dates.xlsx,xlsx,12707,1hSZ_v0eRm56XHw7ZtqzSXzcGcl9eh_f8,https://drive.google.com/file/d/1hSZ_v0eRm56XHw7ZtqzSXzcGcl9eh_f8/view,extracted
2022/2022 Hamstra Alfalfa.xlsx,2022 Hamstra Alfalfa.xlsx,xlsx,17634,1vXWP6EyuPyGKP3ITEtM60GY1G5pbtEmZ,https://drive.google.com/file/d/1vXWP6EyuPyGKP3ITEtM60GY1G5pbtEmZ/view,extracted
2022/2022 Hamstra Alfalfa.pdf,2022 Hamstra Alfalfa.pdf,application/pdf,92439,1vVIC-3g-plHvmN-duiOPEx-04OowXukC,https://drive.google.com/file/d/1vVIC-3g-plHvmN-duiOPEx-04OowXukC/view,extracted
2022/2022 Hamstra wheat.pdf,2022 Hamstra wheat.pdf,application/pdf,116929,1WJzw7352UAZPUsLCipLCPSZCZ2ktwCq5,https://drive.google.com/file/d/1WJzw7352UAZPUsLCipLCPSZCZ2ktwCq5/view,extracted
2022/2022 Hamstra Corn.pdf,2022 Hamstra Corn.pdf,application/pdf,163335,1MSx_exNz3zZfGoDvMupKXT3GblykC6D9,https://drive.google.com/file/d/1MSx_exNz3zZfGoDvMupKXT3GblykC6D9/view,extracted
2022/2022 Hamstra Corn.xlsx,2022 Hamstra Corn.xlsx,xlsx,134144,13zkWS-bdYdefKTrHfmNbLY_J7sqcWxUx,https://drive.google.com/file/d/13zkWS-bdYdefKTrHfmNbLY_J7sqcWxUx/view,extracted
2022/2022 Hamstra wheat.xlsx,2022 Hamstra wheat.xlsx,xlsx,15870,1DK6qNtdznQ-hUvVe8E6E05dh3QJ_DytM,https://drive.google.com/file/d/1DK6qNtdznQ-hUvVe8E6E05dh3QJ_DytM/view,extracted
2023/2023 Hamstra Alfalfa.xlsx,2023 Hamstra Alfalfa.xlsx,xlsx,17458,1RyiseEqnWS0-0vV-D3VOvKMFLNdVE4n5,https://drive.google.com/file/d/1RyiseEqnWS0-0vV-D3VOvKMFLNdVE4n5/view,extracted
2023/2023 Hamstra Wheat.xlsx,2023 Hamstra Wheat.xlsx,xlsx,18476,1JOCjwFUawAaqN05IT8Rb1jkFN6SSy2Ye,https://drive.google.com/file/d/1JOCjwFUawAaqN05IT8Rb1jkFN6SSy2Ye/view,extracted
